GenPept accession,Phylum,Class
YP_009300663, Negarnaviricota, Monjiviricetes
YP_009300669, Negarnaviricota, Monjiviricetes
YP_009300674, Negarnaviricota, Monjiviricetes
YP_009300680, Negarnaviricota, Ellioviricetes
YP_009300681, Negarnaviricota, Ellioviricetes
YP_009300689, Negarnaviricota, Monjiviricetes
YP_009300875, Negarnaviricota, Monjiviricetes
YP_009301361, Negarnaviricota, Monjiviricetes
YP_009301743, Negarnaviricota, Monjiviricetes
YP_009302018, Negarnaviricota, Monjiviricetes
YP_009302387, Negarnaviricota, Monjiviricetes
YP_009302836, Negarnaviricota, Monjiviricetes
YP_009303699, Negarnaviricota, Monjiviricetes
YP_009304331, Negarnaviricota, Monjiviricetes
YP_009304420, Negarnaviricota, Monjiviricetes
YP_009304558, Negarnaviricota, Monjiviricetes
YP_009304559, Negarnaviricota, Monjiviricetes
YP_009304980, Negarnaviricota, Monjiviricetes
YP_009304985, Negarnaviricota, Monjiviricetes
YP_009304986, Negarnaviricota, Ellioviricetes
YP_009304989, Negarnaviricota, Ellioviricetes
YP_009304993, Negarnaviricota, Ellioviricetes
YP_009304995, Negarnaviricota, Ellioviricetes
YP_009305000, Negarnaviricota, Ellioviricetes
YP_009305107, Negarnaviricota, Monjiviricetes
YP_009305112, Negarnaviricota, Monjiviricetes
YP_009305117, Negarnaviricota, Monjiviricetes
YP_009305122, Negarnaviricota, Monjiviricetes
YP_009305130, Negarnaviricota, Ellioviricetes
YP_009305135, Negarnaviricota, Ellioviricetes
YP_009305136, Negarnaviricota, Ellioviricetes
YP_009305140, Negarnaviricota, Ellioviricetes
YP_009305414, Kitrinoviricota, Alsuviricetes
YP_009305422, Pisuviricota, Stelpaviricetes
YP_009310051, Kitrinoviricota, Alsuviricetes
YP_009310111, Kitrinoviricota, Alsuviricetes
YP_009310113, Kitrinoviricota, Alsuviricetes
YP_009310114, Kitrinoviricota, Alsuviricetes
YP_009310116, Kitrinoviricota, Alsuviricetes
YP_009315873, Negarnaviricota, Monjiviricetes
YP_009315878, Negarnaviricota, Monjiviricetes
YP_009315883, Kitrinoviricota, Alsuviricetes
YP_009315896, Pisuviricota, Pisoniviricetes
YP_009315906, Pisuviricota, Pisoniviricetes
YP_009315907, Pisuviricota, Pisoniviricetes
YP_009315910, Kitrinoviricota, Alsuviricetes
YP_009316187, Pisuviricota, Pisoniviricetes
YP_009316228, Kitrinoviricota, Tolucaviricetes
YP_009322132, Kitrinoviricota, Flasuviricetes
YP_009325368, Negarnaviricota, Monjiviricetes
YP_009328360, Kitrinoviricota, Flasuviricetes
YP_009328891, Pisuviricota, Pisoniviricetes
YP_009328931, Duplornaviricota, Chrymotiviricetes
YP_009328933, Pisuviricota, Pisoniviricetes
YP_009329817, Pisuviricota, Pisoniviricetes
YP_009329819, Pisuviricota, Pisoniviricetes
YP_009329821, Pisuviricota, Pisoniviricetes
YP_009329822, Pisuviricota, Pisoniviricetes
YP_009329871, Negarnaviricota, Ellioviricetes
YP_009329879, Negarnaviricota, Ellioviricetes
YP_009329886, Pisuviricota, Duplopiviricetes
YP_009329887, Negarnaviricota, Ellioviricetes
YP_009329894, Negarnaviricota, Ellioviricetes
YP_009330037, Pisuviricota, Duplopiviricetes
YP_009330058, Pisuviricota, Pisoniviricetes
YP_009330113, Negarnaviricota, Monjiviricetes
YP_009330271, Pisuviricota, Pisoniviricetes
YP_009330273, Negarnaviricota, Chunqiuviricetes
YP_009330274, Negarnaviricota, Yunchangviricetes
YP_009330281, Negarnaviricota, Ellioviricetes
YP_009330283, Negarnaviricota, Ellioviricetes
YP_009333133, Kitrinoviricota, Tolucaviricetes
YP_009333157, Negarnaviricota, Monjiviricetes
YP_009333158, Pisuviricota, Stelpaviricetes
YP_009333167, Pisuviricota, Stelpaviricetes
YP_009333174, Pisuviricota, Stelpaviricetes
YP_009333178, Negarnaviricota, Monjiviricetes
YP_009333185, Negarnaviricota, Monjiviricetes
YP_009333297, Pisuviricota, Duplopiviricetes
YP_009333323, Pisuviricota, Pisoniviricetes
YP_009333332, Pisuviricota, Pisoniviricetes
YP_009333418, Negarnaviricota, Monjiviricetes
YP_009333422, Negarnaviricota, Monjiviricetes
YP_009333443, Negarnaviricota, Monjiviricetes
YP_009333449, Negarnaviricota, Monjiviricetes
YP_009333562, Pisuviricota, Duplopiviricetes
YP_009336483, Pisuviricota, Pisoniviricetes
YP_009336512, Negarnaviricota, Monjiviricetes
YP_009336549, Pisuviricota, Pisoniviricetes
YP_009336595, Negarnaviricota, Monjiviricetes
YP_009336618, Negarnaviricota, Monjiviricetes
YP_009336632, Negarnaviricota, Monjiviricetes
YP_009336711, Pisuviricota, Pisoniviricetes
YP_009336728, Negarnaviricota, Monjiviricetes
YP_009336845, Pisuviricota, Stelpaviricetes
YP_009336866, Negarnaviricota, Monjiviricetes
YP_009336889, Negarnaviricota, Monjiviricetes
YP_009336924, Negarnaviricota, Monjiviricetes
YP_009336946, Negarnaviricota, Monjiviricetes
YP_009337002, Pisuviricota, Pisoniviricetes
YP_009337121, Negarnaviricota, Monjiviricetes
YP_009337139, Negarnaviricota, Monjiviricetes
YP_009337182, Negarnaviricota, Monjiviricetes
YP_009337295, Negarnaviricota, Monjiviricetes
YP_009337428, Negarnaviricota, Monjiviricetes
YP_009337727, Pisuviricota, Pisoniviricetes
YP_009337755, Pisuviricota, Pisoniviricetes
YP_009337815, Negarnaviricota, Monjiviricetes
YP_009337847, Negarnaviricota, Chunqiuviricetes
YP_009337849, Negarnaviricota, Chunqiuviricetes
YP_009337854, Negarnaviricota, Yunchangviricetes
YP_009337856, Negarnaviricota, Monjiviricetes
YP_009337860, Negarnaviricota, Monjiviricetes
YP_009337864, Negarnaviricota, Chunqiuviricetes
YP_009337866, Negarnaviricota, Chunqiuviricetes
YP_009337904, Negarnaviricota, Monjiviricetes
YP_009342285, Negarnaviricota, Monjiviricetes
YP_009342311, Negarnaviricota, Monjiviricetes
YP_009342320, Pisuviricota, Pisoniviricetes
YP_009342443, Pisuviricota, Duplopiviricetes
YP_009342465, Negarnaviricota, Chunqiuviricetes
YP_009342468, Pisuviricota, Pisoniviricetes
YP_009344960, Pisuviricota, Pisoniviricetes
YP_009344961, Kitrinoviricota, Flasuviricetes
YP_009344962, Kitrinoviricota, Flasuviricetes
YP_009344963, Pisuviricota, Pisoniviricetes
YP_009344968, Kitrinoviricota, Flasuviricetes
YP_009344969, Kitrinoviricota, Flasuviricetes
YP_009344970, Pisuviricota, Pisoniviricetes
YP_009344978, Negarnaviricota, Monjiviricetes
YP_009344984, Negarnaviricota, Monjiviricetes
YP_009344989, Negarnaviricota, Monjiviricetes
YP_009344991, Pisuviricota, Pisoniviricetes
YP_009345031, Kitrinoviricota, Flasuviricetes
YP_009345034, Kitrinoviricota, Flasuviricetes
YP_009345035, Kitrinoviricota, Flasuviricetes
YP_009345036, Kitrinoviricota, Flasuviricetes
YP_009345037, Kitrinoviricota, Flasuviricetes
YP_009345044, Lenarviricota, Miaviricetes
YP_009345119, Negarnaviricota, Chunqiuviricetes
YP_009345128, Negarnaviricota, Ellioviricetes
YP_009345139, Pisuviricota, Duplopiviricetes
YP_009345598, Pisuviricota, Pisoniviricetes
YP_009345879, Duplornaviricota, Resentoviricetes
YP_009345890, Pisuviricota, Pisoniviricetes
YP_009345896, Pisuviricota, Pisoniviricetes
YP_009345898, Pisuviricota, Stelpaviricetes
YP_009345900, Pisuviricota, Pisoniviricetes
YP_009345901, Pisuviricota, Pisoniviricetes
YP_009345903, Pisuviricota, Stelpaviricetes
YP_009345906, Pisuviricota, Pisoniviricetes
YP_009345907, Pisuviricota, Pisoniviricetes
YP_009346010, Negarnaviricota, Ellioviricetes
YP_009346017, Negarnaviricota, Ellioviricetes
YP_009346019, Negarnaviricota, Ellioviricetes
YP_009346026, Negarnaviricota, Ellioviricetes
YP_009346030, Negarnaviricota, Ellioviricetes
YP_009346035, Negarnaviricota, Ellioviricetes
YP_009346036, Negarnaviricota, Ellioviricetes
YP_009350098, Kitrinoviricota, Alsuviricetes
YP_009351838, Pisuviricota, Duplopiviricetes
YP_009351861, Kitrinoviricota, Flasuviricetes
YP_009351862, Kitrinoviricota, Alsuviricetes
YP_009351870, Pisuviricota, Stelpaviricetes
YP_009351878, Pisuviricota, Pisoniviricetes
YP_009351891, Kitrinoviricota, Alsuviricetes
YP_009351892, Pisuviricota, Pisoniviricetes
YP_009351917, Kitrinoviricota, Flasuviricetes
YP_009352236, Negarnaviricota, Monjiviricetes
